variable,variable_label,original_question,recode_type,value_labels,missing_note
eat_calcium,How often do you consume calcium containing products,How often do you consume calcium containing products,categorical/ordinal recode,"{""0"": ""Never"", ""1"": ""Less than once per week"", ""2"": ""1-2 times per week"", ""3"": ""3-4 times per week"", ""4"": ""5-6 times per week"", ""5"": ""every day"", ""6"": ""1-2 times per day"", ""7"": ""3-4 times per day"", ""8"": ""5 or more times per day""}",
eat_white_meat,How often do you eat white meat,How often do you eat white meat,categorical/ordinal recode,"{""0"": ""Never"", ""1"": ""Less than once per week"", ""2"": ""1-2 times per week"", ""3"": ""3-4 times per week"", ""4"": ""5-6 times per week"", ""5"": ""every day"", ""6"": ""1-2 times per day"", ""7"": ""3-4 times per day"", ""8"": ""5 or more times per day""}",
eat_red_meat,How often do you eat red meat,How often do you eat red meat,categorical/ordinal recode,"{""0"": ""Never"", ""1"": ""Less than once per week"", ""2"": ""1-2 times per week"", ""3"": ""3-4 times per week"", ""4"": ""5-6 times per week"", ""5"": ""every day"", ""6"": ""1-2 times per day"", ""7"": ""3-4 times per day"", ""8"": ""5 or more times per day""}",
eat_processed_meat,How often do you eat packaged meat,How often do you eat packaged meat,categorical/ordinal recode,"{""0"": ""Never"", ""1"": ""Less than once per week"", ""2"": ""1-2 times per week"", ""3"": ""3-4 times per week"", ""4"": ""5-6 times per week"", ""5"": ""every day"", ""6"": ""1-2 times per day"", ""7"": ""3-4 times per day"", ""8"": ""5 or more times per day""}",
eat_seafood,How often do you eat seafood?,How often do you eat seafood?,categorical/ordinal recode,"{""0"": ""Never"", ""1"": ""Less than once per week"", ""2"": ""1-2 times per week"", ""3"": ""3-4 times per week"", ""4"": ""5-6 times per week"", ""5"": ""Every day"", ""6"": ""1-2 times per day"", ""7"": ""3-4 times per day"", ""8"": ""5 or more times per day""}",
eat_legumes,How often do you eat legumes,How often do you eat legumes,categorical/ordinal recode,"{""0"": ""Never"", ""1"": ""Less than once per week"", ""2"": ""1-2 times per week"", ""3"": ""3-4 times per week"", ""4"": ""5-6 times per week"", ""5"": ""every day"", ""6"": ""1-2 times per day"", ""7"": ""3-4 times per day"", ""8"": ""5 or more times per day""}",
eat_sweets,How often do you eat sweets/cakes/chocolate/crisps?,How often do you eat sweets/cakes/chocolate/crisps?,categorical/ordinal recode,"{""0"": ""Never"", ""1"": ""Less than once per week"", ""2"": ""1-2 times per week"", ""3"": ""3-4 times per week"", ""4"": ""5-6 times per week"", ""5"": ""every day"", ""6"": ""1-2 times per day"", ""7"": ""3-4 times per day"", ""8"": ""5 or more times per day""}",
eat_fast_food,"How often do you order food from, or eat at, fast food establishments or takeaways?","How often do you order food from, or eat at, fast food establishments or takeaways?",categorical/ordinal recode,"{""0"": ""Never"", ""1"": ""Less than once per week"", ""2"": ""1-2 times per week"", ""3"": ""3-4 times per week"", ""4"": ""5-6 times per week"", ""5"": ""every day"", ""6"": ""1-2 times per day"", ""7"": ""3-4 times per day"", ""8"": ""5 or more times per day""}",
eat_convenience_food,"How often do you purchase and consume packaged/convenience foods (e.g ready meals, meal deals)?","How often do you purchase and consume packaged/convenience foods (e.g ready meals, meal deals)?",categorical/ordinal recode,"{""0"": ""Never"", ""1"": ""Less than once per week"", ""2"": ""1-2 times per week"", ""3"": ""3-4 times per week"", ""4"": ""5-6 times per week"", ""5"": ""every day"", ""6"": ""1-2 times per day"", ""7"": ""3-4 times per day"", ""8"": ""5 or more times per day""}",
eat_home_cooked,How often do you prepare and/or consume home-cooked meals?,How often do you prepare and/or consume home-cooked meals?,categorical/ordinal recode,"{""0"": ""Never"", ""1"": ""Less than once per week"", ""2"": ""1-2 times per week"", ""3"": ""3-4 times per week"", ""4"": ""5-6 times per week"", ""5"": ""every day"", ""6"": ""1-2 times per day"", ""7"": ""3-4 times per day"", ""8"": ""5 or more times per day""}",
